"CASRN","chemical_name "
"110-00-9","Furan  "
"556-52-5","Glycidol"
"76-44-8","Heptachlor"
"118-74-1","Hexachlorobenzene"
"87-68-3","Hexachloro-1,3-butadiene (Hexachlorobutadiene)"
"319-84-6","alpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexanealpha-Hexachlorocyclohexane"
"77-47-4","Hexachlorocyclopentadiene"
"67-72-1","Hexachloroethane"
"1335-87-1","Hexachloronaphthalene"
"70-30-4","Hexachlorophene"
"680-31-9","Hexamethylphosphoramide"
"110-54-3","n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)n-Hexane (Hexane)"
"51235-04-2","Hexazinone"
"67485-29-4","Hydramethylnon"
"302-01-2","Hydrazine"
"10034-93-2","Hydrazine sulfate (1:1)"
"7647-01-0","Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)"
"74-90-8","Hydrogen cyanide"
"7664-39-3","Hydrogen fluoride (Hydrofluoric acid)"
"7783-06-4","Hydrogen sulfide"
"123-31-9","Hydroquinone"
"35554-44-0","Imazalil "
"55406-53-6","3-Iodo-2-propynyl butylcarbamate"
"13463-40-6","Iron pentacarbonyl"
"78-84-2","Isobutyraldehyde"
"465-73-6","Isodrin"
"25311-71-1","Isofenphos"
"78-79-5","Isoprene"
"67-63-0","Isopropyl alcohol (Isopropanol) (only persons who manufacture by the strong acid process are subject, no supplier notification)"
"80-05-7","4,4'-Isopropylidenediphenol"
"120-58-1","Isosafrole"
"77501-63-4","Lactofen "
"7439-92-1","Lead "
"58-89-9","Lindane "
"330-55-2","Linuron"
"554-13-2","Lithium carbonate"
"121-75-5","Malathion"
"108-31-6","Maleic anhydride"
"109-77-3","Malononitrile"
"12427-38-2","Maneb "
"7439-96-5","Manganese"
"93-65-2","Mecoprop"
"149-30-4","2-Mercaptobenzothiazole"
"7439-97-6","Mercury"
"150-50-5","Merphos"
"126-98-7","Methacrylonitrile"
"137-42-8","Metham sodium (Sodium methyldithiocarbamate)"
"67-56-1","Methanol"
"20354-26-1","Methazole"
"2032-65-7","Methiocarb"
"94-74-6","Methoxone (MCPA)"
"3653-48-3","Methoxone sodium salt"
"72-43-5","Methoxychlor "
"109-86-4","2-Methoxyethanol"
"96-33-3","Methyl acrylate"
"1634-04-4","Methyl tert-butyl ether"
"79-22-1","Methyl chlorocarbonate"
"101-14-4","4,4'-Methylenebis(2-chloroaniline) "
"101-61-1","4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])4,4'-Methylenebis(N,N-dimethyl)benzenamine (4,4'-Methylenebis[N,N-dimethylaniline])"
"74-95-3","Methylene bromide (Dibromomethane)"
"101-77-9","4,4'-Methylenedianiline"
"93-15-2","Methyleugenol"
"60-34-4","Methyl hydrazine"
"74-88-4","Methyl iodide"
"108-10-1","Methyl isobutyl ketone"
"624-83-9","Methyl isocyanate"
"556-61-6","Methyl isothiocyanate"
"75-86-5","2-Methyllactonitrile (Acetone cyanohydrin)"
"80-62-6","Methyl methacrylate"
"924-42-5","N-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-MethylolacrylamideN-Methylolacrylamide"
"298-00-0","Methyl parathion"
"109-06-8","2-Methylpyridine"
"872-50-4","N-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidoneN-Methyl-2-pyrrolidone"
"9006-42-2","Metiram"
"21087-64-9","Metribuzin"
"7786-34-7","Mevinphos"
"90-94-8","Michler’s ketone"
"2212-67-1","Molinate"
"1313-27-5","Molybdenum trioxide"
"76-15-3","Monochloropentafluoroethane (CFC-115)"
"150-68-5","Monuron"
"505-60-2","Mustard gas "
"88671-89-0","Myclobutanil"
"142-59-6","Nabam"
"300-76-5","Naled"
"91-20-3","Naphthalene"
"134-32-7","alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)alpha-Naphthylamine (1-Naphthalenamine)"
"91-59-8","beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)beta-Naphthylamine (2-Naphthalenamine)"
"7440-02-0","Nickel"
"1929-82-4","Nitrapyrin "
"7697-37-2","Nitric acid"
"139-13-9","Nitrilotriacetic acid"
"100-01-6","p-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroanilinep-Nitroaniline"
"99-59-2","5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)5-Nitro-o-anisidine (2-Methoxy-5-nitroaniline)"
"91-23-6","o-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisoleo-Nitroanisole"
"98-95-3","Nitrobenzene"
"92-93-3","4-Nitrobiphenyl"
"1836-75-5","Nitrofen"
"51-75-2","Nitrogen mustard (HN-2) "
"55-63-0","Nitroglycerin"
"75-52-5","Nitromethane "
"88-75-5","2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)2-Nitrophenol (o-Nitrophenol)"
"100-02-7","4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)4-Nitrophenol (p-Nitrophenol)"
"79-46-9","2-Nitropropane"
"924-16-3","N-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamineN-Nitrosodi-n-butylamine"
"55-18-5","N-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-NitrosodiethylamineN-Nitrosodiethylamine"
"62-75-9","N-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-NitrosodimethylamineN-Nitrosodimethylamine"
"86-30-6","N-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-NitrosodiphenylamineN-Nitrosodiphenylamine"
"156-10-5","p-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylaminep-Nitrosodiphenylamine"
"621-64-7","N-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamineN-Nitrosodi-n-propylamine"
"759-73-9","N-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylureaN-Nitroso-N-ethylurea"
"684-93-5","N-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylureaN-Nitroso-N-methylurea"
"4549-40-0","N-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-NitrosomethylvinylamineN-Nitrosomethylvinylamine"
"59-89-2","N-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-NitrosomorpholineN-Nitrosomorpholine"
"16543-55-8","N-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-NitrosonornicotineN-Nitrosonornicotine"
"100-75-4","N-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-NitrosopiperidineN-Nitrosopiperidine"
"88-72-2","o-Nitrotolueneo-Nitrotolueneo-Nitrotolueneo-Nitrotolueneo-Nitrotolueneo-Nitrotolueneo-Nitrotolueneo-Nitrotolueneo-Nitrotolueneo-Nitrotoluene"
"99-55-8","5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)5-Nitro-o-toluidine (2-Methyl-5-nitroaniline)"
"27314-13-2","Norflurazon"
"2234-13-1","Octachloronaphthalene"
"29082‑74‑4","Octachlorostyrene"
"19044-88-3","Oryzalin "
"20816-12-0","Osmium tetroxide"
"19666-30-9","Oxadiazon "
"301-12-2","Oxydemeton-methyl "
"42874-03-3","Oxyfluorfen"
"10028-15-6","Ozone"
"123-63-7","Paraldehyde"
"1910-42-5","Paraquat dichloride"
"56-38-2","Parathion "
"1114-71-2","Pebulate"
"40487-42-1","Pendimethalin"
"608‑93‑5","Pentachlorobenzene"
"76-01-7","Pentachloroethane"
"87-86-5","Pentachlorophenol"
"57-33-0","Pentobarbital sodium"
"79-21-0","Peracetic acid"
"594-42-3","Perchloromethyl mercaptan"
"52645-53-1","Permethrin"
"85-01-8","Phenanthrene"
"108-95-2","Phenol"
"77-09-8","Phenolphthalein (3,3-Bis(4-hydroxyphenyl)phthalide)"
"26002-80-2","Phenothrin "
"106-50-3","p-Phenylenediaminep-Phenylenediaminep-Phenylenediaminep-Phenylenediaminep-Phenylenediaminep-Phenylenediaminep-Phenylenediaminep-Phenylenediaminep-Phenylenediamine"
"95-54-5","1,2-Phenylenediamine"
"108-45-2","1,3-Phenylenediamine"
"615-28-1","1,2-Phenylenediamine dihydrochloride"
"624-18-0","1,4-Phenylenediamine dihydrochloride"
"90-43-7","2-Phenylphenol"
"57-41-0","Phenytoin"
"75-44-5","Phosgene"
"7803-51-2","Phosphine"
"12185-10-3","Phosphorus (yellow or white)"
"85-44-9","Phthalic anhydride"
"1918-02-1","Picloram"
"88-89-1","Picric acid"
"51-03-6","Piperonyl butoxide"
"29232-93-7","Pirimiphos-methyl"
"1336-36-3","Polychlorinated biphenyls "
"7758-01-2","Potassium bromate"
"128-03-0","Potassium dimethyldithiocarbamate"
"137-41-7","Potassium N-methyldithiocarbamatePotassium N-methyldithiocarbamatePotassium N-methyldithiocarbamatePotassium N-methyldithiocarbamatePotassium N-methyldithiocarbamatePotassium N-methyldithiocarbamatePotassium N-methyldithiocarbamatePotassium N-methyldithiocarbamate"
"41198-08-7","Profenofos"
"7287-19-6","Prometryn"
"23950-58-5","Pronamide"
"1918-16-7","Propachlor"
"1120-71-4","1,3-Propane sultone"
"709-98-8","Propanil"
"2312-35-8","Propargite"
"107-19-7","Propargyl alcohol"
"31218-83-4","Propetamphos "
"60207-90-1","Propiconazole"
"57-57-8","beta-Propiolactonebeta-Propiolactonebeta-Propiolactonebeta-Propiolactonebeta-Propiolactonebeta-Propiolactonebeta-Propiolactone"
"123-38-6","Propionaldehyde"
"114-26-1","Propoxur"
"115-07-1","Propylene"
"75-55-8","Propyleneimine"
"75-56-9","Propylene oxide"
"110-86-1","Pyridine"
"91-22-5","Quinoline"
"106-51-4","Quinone"
"82-68-8","Quintozene (Pentachloronitrobenzene)"
"76578-14-8","Quizalofop-ethyl "
"10453-86-8","Resmethrin"
"81-07-2","Saccharin (only persons who manufacture are subject, no supplier notification)"
"94-59-7","Safrole"
"7782-49-2","Selenium"
"74051-80-2","Sethoxydim "
"7440-22-4","Silver"
"122-34-9","Simazine"
"26628-22-8","Sodium azide"
"1982-69-0","Sodium dicamba "
"128-04-1","Sodium dimethyldithiocarbamate"
"62-74-8","Sodium fluoroacetate"
"7632-00-0","Sodium nitrite"
"131-52-2","Sodium pentachlorophenate"
"132-27-4","Sodium o-phenylphenoxideSodium o-phenylphenoxideSodium o-phenylphenoxideSodium o-phenylphenoxideSodium o-phenylphenoxide"
"100-42-5","Styrene"
"96-09-3","Styrene oxide"
"7664-93-9","Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)"
"2699-79-8","Sulfuryl fluoride"
"35400-43-2","Sulprofos "
"34014-18-1","Tebuthiuron "
"3383-96-8","Temephos"
"5902-51-2","Terbacil"
"79‑94‑7","Tetrabromobisphenol A"
"630-20-6","1,1,1,2-Tetrachloroethane"
"79-34-5","1,1,2,2-Tetrachloroethane"
"127-18-4","Tetrachloroethylene"
"354-11-0","1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)"
"354-14-3","1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)"
"961-11-5","Tetrachlorvinphos"
"64-75-5","Tetracycline hydrochloride"
"116-14-3","Tetrafluoroethylene (Tetrafluoroethene)"
"7696-12-0","Tetramethrin "
"509-14-8","Tetranitromethane "
"7440-28-0","Thallium"
"148-79-8","Thiabendazole "
"62-55-5","Thioacetamide"
"28249-77-6","Thiobencarb"
"139-65-1","4,4'-Thiodianiline"
"59669-26-0","Thiodicarb"
"23564-06-9","Thiophanate-ethyl"
"23564-05-8","Thiophanate-methyl"
"79-19-6","Thiosemicarbazide"
"62-56-6","Thiourea"
"137-26-8","Thiram"
"1314-20-1","Thorium dioxide"
"7550-45-0","Titanium tetrachloride"
"108-88-3","Toluene"
"584-84-9","Toluene-2,4-diisocyanate"
"91-08-7","Toluene-2,6-diisocyanate"
"26471-62-5","Toluene diisocyanate (mixed isomers)"
"95-53-4","o-Toluidineo-Toluidineo-Toluidine"
"636-21-5","o-Toluidine hydrochlorideo-Toluidine hydrochlorideo-Toluidine hydrochloride"
"8001-35-2","Toxaphene"
"43121-43-3","Triadimefon "
"2303-17-5","Triallate"
"68-76-8","Triaziquone"
"101200-48-0","Tribenuron-methyl "
"1983-10-4","Tributyltin fluoride"
"2155-70-6","Tributyltin methacrylate"
"78-48-8","S,S,S-Tributyltrithiophosphate (Tribufos)S,S,S-Tributyltrithiophosphate (Tribufos)S,S,S-Tributyltrithiophosphate (Tribufos)"
"52-68-6","Trichlorfon"
"76-02-8","Trichloroacetyl chloride"
"120-82-1","1,2,4-Trichlorobenzene"
"71-55-6","1,1,1-Trichloroethane"
"79-00-5","1,1,2-Trichloroethane"
"79-01-6","Trichloroethylene"
"75-69-4","Trichlorofluoromethane (CFC-11)"
"95-95-4","2,4,5-Trichlorophenol"
"88-06-2","2,4,6-Trichlorophenol"
"96-18-4","1,2,3-Trichloropropane"
"57213-69-1","Triclopyr-triethylammonium salt"
"121-44-8","Triethylamine"
"1582-09-8","Trifluralin "
"26644-46-2","Triforine "
"95-63-6","1,2,4-Trimethylbenzene"
"2655-15-4","2,3,5-Trimethylphenyl methylcarbamate"
"639-58-7","Triphenyltin chloride"
"76-87-9","Triphenyltin hydroxide"
"126-72-7","Tris(2,3-dibromopropyl) phosphate"
"72-57-1","Trypan blue"
"51-79-6","Urethane"
"7440-62-2","Vanadium (except when contained in an alloy)"
"50471-44-8","Vinclozolin"
"108-05-4","Vinyl acetate"
"593-60-2","Vinyl bromide"
"75-01-4","Vinyl chloride"
"75-02-5","Vinyl fluoride"
"75-35-4","Vinylidene chloride (1,1-Dichloroethylene)"
"1330-20-7","Xylene (mixed isomers)"
"108-38-3","m-Xylene"
"95-47-6","o-Xylene"
"106-42-3","p-Xylene"
"87-62-7","2,6-Xylidine"
"7440-66-6","Zinc (fume or dust)"
"12122-67-7","Zineb "
"N010","Antimony compounds"
"N020","Arsenic compounds"
"N040","Barium compounds (except for barium sulfate (CAS No. 7727-43-7))Barium compounds (except for barium sulfate (CAS No. 7727-43-7))Barium compounds (except for barium sulfate (CAS No. 7727-43-7))Barium compounds (except for barium sulfate (CAS No. 7727-43-7))Barium compounds (except for barium sulfate (CAS No. 7727-43-7))Barium compounds (except for barium sulfate (CAS No. 7727-43-7))Barium compounds (except for barium sulfate (CAS No. 7727-43-7))Barium compounds (except for barium sulfate (CAS No. 7727-43-7))"
"N050","Beryllium compounds"
"N078","Cadmium compounds"
"N084","Chlorophenols"
"N090","Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR).  COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 oF.) "
"N096","Cobalt compounds"
"N100","Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)"
"N106","Cyanide compounds"
"N120","Diisocyanates (includes the 20 compounds below)Diisocyanates (includes the 20 compounds below)Diisocyanates (includes the 20 compounds below)Diisocyanates (includes the 20 compounds below)Diisocyanates (includes the 20 compounds below)Diisocyanates (includes the 20 compounds below)Diisocyanates (includes the 20 compounds below)Diisocyanates (includes the 20 compounds below)"
"38661-72-2*","1,3-Bis(methylisocyanate)cyclohexane "
"10347-54-3*","1,4-Bis(methylisocyanate)cyclohexane (1,4-Bis(isocyanatomethyl)cyclohexane) "
"2556-36-7*","1,4-Cyclohexane diisocyanate"
"134190-37-7*","Diethyldiisocyanatobenzene "
"4128-73-8*","4,4'-Diisocyanatodiphenyl ether "
"75790-87-3*","2,4'-Diisocyanatodiphenyl sulfide "
"91-93-0*","3,3'-Dimethoxybenzidine-4,4'-diisocyanate"
"91-97-4*","3,3'-Dimethyl-4,4'-diphenylene diisocyanate "
"139-25-3*","3,3'-Dimethyldiphenylmethane-4,4'-diisocyanate "
"822-06-0*","Hexamethylene-1,6-diisocyanate"
"4098-71-9*","Isophorone diisocyanate  "
"75790-84-0*","4-Methyldiphenylmethane-3,4-diisocyanate    "
"5124-30-1*","1,1-Methylenebis(4-isocyanatocyclohexane)     "
"101-68-8*","4,4'-Methylenedi(phenyl isocyanate) "
"3173-72-6*","1,5-Naphthalene diisocyanate "
"123-61-5*","1,3-Phenylene diisocyanate "
"104-49-4*","1,4-Phenylene diisocyanate "
"9016-87-9*","Polymeric diphenylmethane diisocyanate "
"16938-22-0*","2,2,4-Trimethylhexamethylene diisocyanate "
"15646-96-5*","2,4,4-Trimethylhexamethylene diisocyanate "
"N150","Dioxin and dioxin-like compounds (Manufacturing; and the processing or otherwise use of dioxin and dioxin like compounds if the dioxin and dioxin like compounds are present as contaminants in a chemical and if they were created during the manufacturing of that chemical.)(includes the 17 compounds below)Dioxin and dioxin-like compounds (Manufacturing; and the processing or otherwise use of dioxin and dioxin like compounds if the dioxin and dioxin like compounds are present as contaminants in a chemical and if they were created during the manufacturing of that chemical.)(includes the 17 compounds below)Dioxin and dioxin-like compounds (Manufacturing; and the processing or otherwise use of dioxin and dioxin like compounds if the dioxin and dioxin like compounds are present as contaminants in a chemical and if they were created during the manufacturing of that chemical.)(includes the 17 compounds below)Dioxin and dioxin-like compounds (Manufacturing; and the processing or otherwise use of dioxin and dioxin like compounds if the dioxin and dioxin like compounds are present as contaminants in a chemical and if they were created during the manufacturing of that chemical.)(includes the 17 compounds below)Dioxin and dioxin-like compounds (Manufacturing; and the processing or otherwise use of dioxin and dioxin like compounds if the dioxin and dioxin like compounds are present as contaminants in a chemical and if they were created during the manufacturing of that chemical.)(includes the 17 compounds below)Dioxin and dioxin-like compounds (Manufacturing; and the processing or otherwise use of dioxin and dioxin like compounds if the dioxin and dioxin like compounds are present as contaminants in a chemical and if they were created during the manufacturing of that chemical.)(includes the 17 compounds below)"
